,Episode,player_0_win,game_length,player_0_knights,player_0_roads,player_0_settlements,player_0_cities,player_0_dev_cards_bought,player_0_dev_cards_played,player_0_dev_card_VP,player_0_num_trades,player_1_knights,player_1_roads,player_1_settlements,player_1_cities,player_1_dev_cards_bought,player_1_dev_cards_played,player_1_dev_card_VP,player_1_num_trades,player_0_victory_points,player_1_victory_points,average_model_loss,Reward_over_episode
0,0,0,601,5,10,0,0,11,8,0,17,8,11,4,0,12,9,0,47,6,10,2.442047146518835,1.9927472340215058
1,1,1,831,6,11,2,0,12,9,0,49,5,11,0,0,10,6,0,52,10,5,2.909076613275301,-3.459297030196547
2,2,0,305,4,3,0,0,9,7,0,11,5,3,1,2,9,5,0,14,3,10,3.0012178208881797,1.284255886229231
3,3,1,197,4,4,0,0,10,5,0,9,1,0,0,0,1,1,0,11,10,2,3.1029781592768577,3.3551409041787577
4,4,0,338,3,4,0,0,3,3,0,22,7,8,1,1,12,9,0,8,2,10,3.245293298959732,1.2257561080469954
5,5,1,264,7,5,1,2,10,7,0,24,2,2,0,0,4,3,0,9,10,3,3.533508987426758,3.9849781001912277
6,6,0,347,4,7,1,3,6,4,0,20,4,13,2,2,6,6,0,33,7,10,3.737714930534363,2.3741288647761167
7,7,0,555,6,4,0,1,14,10,0,41,4,11,4,1,6,4,0,43,8,10,4.095182499527931,-4.6608508502877815
8,8,0,496,1,8,0,0,2,1,0,13,2,11,4,0,5,2,0,75,3,10,4.405116775631905,-6.009977399181708
9,9,0,765,10,6,0,1,16,12,0,33,4,9,4,1,9,6,0,61,9,10,4.197572257995605,-0.4301807932698188
